017110010100100001011101p1                                                111197606461112    31101101100020111211111
017110010100100001011102c1                                                1312007101511112 2 21008                 1
017110010100100001011103c2                                                1322012031011112 2 205                   2
027110010100100001011102c1                                                11100900210301B        1      1
027110010100100001011103c2                                                12050400230001C        1      2
0371100101001000010111
0971100101001000010111
019110030300300003033301p1                                                111197606461112    31501101100240113711111
019110030300300003033302c1                                                1322012031111112 2 205                   1
019110030300300003033303c2                                                1312015020811112 2 202                   2
02911003030030000303330211050400210301BC       1      1
02911003030030000303330311020100210302B        1      3
0991100303003000030333
011210010100100001011101p1                                                111197612461112    315012              111
011210010100100001011102c1                                                1312012031011112 2 205                   1
011210010100100001011103c2                                                1322014030811112 2 201                   2
02121001010010000101110311030200210301B        1      2
021210010100100001011102             2B        1      2
0912100101001000010111
011310010100100001011101p1                                                111197612461112    315012              121
011310010100100001011102c1                                                1312010021211112 2 205                   1
011310010100100001011103c2                                                1322012021011112 2 204                   2
02131001010010000101110211040300210301BC       1      1
02131001010010000101110311040300210301         1      1
0913100101001000010111
